Text;Group;IsGroupSwitch;DuplicateCheck;Category;ValidationRegex
"Какое Ваше имя/ник?
---
Заполняя анкету, Вы даете согласие на на обработку введенных Вами персональных данных (имя, телефон)
";0;0;1;;
Контактый номер телефона в формате 8-999-999-99-99;0;0;1;;^((8|\+7)[\- ]?)?(\(?\d{3}\)?[\- ]?)?[\d\- ]{7,10}$
В каком городе вы находитесь?;0;0;0;;
Можете ли предоставить жилье?;1;1;0;;
"Какой тип жилья можете предоставить?
К - квартиру или
Д - дом, или
М - комнату";1;0;0;;[Кк]|[Дд]|[Мм]
В каком населенном пункте?;1;0;0;;
Сколько человек могут там проживать?;1;0;0;;
Другие комментарии по предоставлению жилья:;1;0;0;;
Можете ли предоставить работу?;2;1;0;;
По каким вакансиям?;2;0;0;;
Можете ли предоставить бесплатную юридическую помощь?;3;1;0;;
Можете ли предоставить бесплатную психологическую помощь детям?;4;1;0;;
Можете ли предоставить бесплатную психологическую помощь взрослым?;5;1;0;;
Можете ли предоставить бесплатную медицинскую помощь детям/взрослым/животным?;6;1;0;;
Какую именно медицинскую помощь и кому (детям/взрослым/животным) можете предоставить?;6;0;0;;
Можете ли предоставить иную бесплатную помощь - услуги (образовательные, развлекательные, экскурсионные и т.п.)?;7;1;0;;
Напишите, пожалуйста, какие это услуги:;7;0;0;;
Можете ли помочь с развозом адресной гумантирной помощи (если есть авто)?;8;1;0;;
Комментарии по возможности развоза гумантирной помощи:;8;0;0;;
Можете ли помочь с доставкой людей (если есть авто)?;9;1;0;;
Комментарии по возможности доставки людей:;9;0;0;;
Можете ли помочь с предоставлением лекарств?;10;1;0;;
Комментарии по возможности предоставления лекарств (например, какие есть в наличии):;10;0;0;;
Можете ли предоставить посуду?;11;1;0;;
Перечислите, пожалуйста, какую  посуду и в каком количестве можете предоставить:;11;0;0;;
Можете ли предоставить постельное белье?;12;1;0;;
Перечислите, пожалуйста, какое постельное белье и в каком количестве можете предоставить:;12;0;0;;
Можете ли предоставить матрас?;13;1;0;;
Укажите количество матрасов:;13;0;0;;
Можете ли предоставить подушку?;14;1;0;;
Укажите количество подушек:;14;0;0;;
Можете ли предоставить одеяло/плед?;15;1;0;;
Укажите количество одеял/пледов:;15;0;0;;
Можете ли предоставить полотенце?;16;1;0;;
Укажите количество полотенец:;16;0;0;;
Можете ли предоставить какие-либо детские принадлежности?;17;1;0;;
"Детскую коляску (укажите вид коляски и количество)?
Здесь и далее, если не можете предоставить - ставьте, пожалуйста, ""0""";17;0;0;;
Детскую кроватку (укажите количество)?;17;0;0;;
Матрас для детской кроватки (укажите количество)?;17;0;0;;
Белье для детской кроватки (укажите количество комплектов)?;17;0;0;;
Детский манеж (укажите количество)?;17;0;0;;
Детский горшок (укажите количество)?;17;0;0;;
Стульчик для кормления (укажите количество)?;17;0;0;;
Переноску для детей (укажите количество)?;17;0;0;;
Самокат (укажите на какой возраст и количество)?;17;0;0;;
Велосипед (укажите на какой возраст и количество)?;17;0;0;;
Портфель (укажите количество)?;17;0;0;;
Школьные принадлежности (укажите, какие/количество)?;17;0;0;;
Пеленки (укажите количество)?;17;0;0;;
Подгузники (укажите, на какой возраст и количество)?;17;0;0;;
Игрушки (укажите, пожалуйста, на какой возраст и какие)?;17;0;0;;
Прочие предметы для детей (укажите, пожалуйста, какие)?;17;0;0;;
Можете ли предоставить бытовую химию?;18;1;0;;
Укажите наименование и количество предметов бытовой химии:;18;0;0;;
Можете ли предоставить туалетную бумагу?;19;1;0;;
Укажите количество рулонов туалетной бумаги:;19;0;0;;
Можете ли предоставить средства гигиены?;20;1;0;;
Укажите наименование и количество средств гигиены:;20;0;0;;
Можете ли предоставить корм для животных?;21;1;0;;
Укажите, для каких животных, вид корма и количество:;21;0;0;;
Можете ли предоставить принадлежности для животных?;22;1;0;;
Укажите, пожалуйста, какие и для каких животных:;22;0;0;;
Сможете вы самостоятельно привезти гуманитарную помощь на склад?;23;1;0;;
"Спасибо! Помните, что мы не волшебники, мы еще только учимся )

Что бы Вы хотели добавить?";0;0;0;;
